城市,名字,评分,户型,出租类型,可住几人,价格,图片地址
beijing,【俯拾】明代四合院侧院大床房 近王府井/天安门/故宫 地铁东四/灯市口站,"
                                        4.9
                                    ",1室,整租,宜住2人,￥1860,//pics.muniao.com//UploadFiles/root/room/734906/thumb/aef7af3562e844e2b5c9c51f2aafa9de.jpg_414_262.jpg
beijing,早宿 月光投影主题两居套房 首都机场 国展 望京,"
                                        5.0
                                    ",2室,整租,宜住4人,￥308,//pics.muniao.com//UploadFiles/root/thumb/240318/feb406d085814d2aab05d9caab920bb9.jpg_414_262.jpg
beijing,遁舍·山原野｜延庆｜露营烧烤大草坪｜恒温泳池｜玉渡山｜龙庆峡｜KTV投影亲子团建,"
                                        5.0
                                    ",6室,整租,宜住23人,￥5500,//pics.muniao.com//UploadFiles/root/room/840313/thumb/ca63ebb1e0624c3ba95ecd30a9f6f68f.jpeg_414_262.jpeg
beijing,『栖莱22号』FCC中央城/长阳地铁站/京投港/奥特莱斯/37分钟直达西站,"
                                        4.6
                                    ",1室,整租,宜住4人,￥360,//pics.muniao.com//UploadFiles/root/room/605433/thumb/a050ba59e7b64c2b9f261a1d9d7cb335.jpeg_414_262.jpeg
beijing,【早宿】近15号线/国展/首都机场/情侣约会/小清新LOFT一居室,"
                                        5.0
                                    ",1室,整租,宜住2人,￥268,//pics.muniao.com//UploadFiles/root/room/765793/thumb/cc5e9a3dec7842f08750fbac5ba2c290.jpg_414_262.jpg
beijing,北欧轻奢大两居公园环绕/地铁4号线贯穿全北京城/临近大兴机场，车站，机场地铁直达，颐和园，*，西单地,"
                                        5.0
                                    ",2室,整租,宜住4人,￥325,//pics.muniao.com//UploadFiles/root/thumb/230714/6805c3896fac43528775d87398beeaa9.jpg_414_262.jpg
beijing,『栖莱9号』fcc中央城/长阳地铁站/北京西站/南站/奥特莱斯/京投港/大学城,"
                                        4.8
                                    ",1室,整租,宜住4人,￥360,//pics.muniao.com//UploadFiles/root/room/456737/thumb/b1ce68aabf2c41f6a333e4d5e694fa7c.jpeg_414_262.jpeg
beijing,轰趴K歌 900平别墅 容纳40人 生日 家庭聚会 烧烤,"
                                        5.0
                                    ",7室,整租,宜住30人,￥4280,//pics.muniao.com//UploadFiles/root/room/625441/thumb/e230085c3db64484928d6d16ff3e5856.jpg_414_262.jpg
beijing,十三宿/漠野/（环球影城/露台/私人影院/户外浴缸/可订票/智能门锁/电动马桶/1.5p空调）,"
                                        5.0
                                    ",5室,单间出租,宜住2人,￥469,//pics.muniao.com//UploadFiles/root/room/1000435/valid/3c25eb504fc5465d9e92d52492b8fcbf.jpg_414_262.jpg
beijing,华联商厦 13号线回龙观地铁边舒适温馨主卧。8号线直达鸟巢水立方、南锣鼓巷,"
                                        4.6
                                    ",2室,单间出租,宜住2人,￥168,//pics.muniao.com//UploadFiles/root/room/144887/thumb/4bd0ccd95e044f67ab8e3753ea13a37c.jpg_414_262.jpg
beijing,海淀区花园北路塔院小区 可做饭 免费上网,"
                                        4.9
                                    ",3室,单间出租,宜住2人,￥268,//pics.muniao.com//UploadFiles/root/room/29242/thumb/c177dee2cc6b42aa9d4dee9780ab9ad1.jpg_414_262.jpg
beijing,安贞医院旁北医三院鸟巢水立方单间,"
                                        5.0
                                    ",2室,单间出租,宜住2人,￥368,//pics.muniao.com//UploadFiles/root/room/267031/thumb/448bcac4c68a49f59a12fefd9b3b1e6b.jpg_414_262.jpg
