rank,BV,title,img,up_name,plays,barrage
1,BV1GE4m1R7k5,《绝区零》世界观PV | 奇迹的起点,//i0.hdslb.com/bfs/archive/3fb0df7ab01b6871b19d1cba553d59f594db6e31.jpg@412w_232h_1c_!web-popular.avif,绝区零,545.3万,1.4万
2,BV1ZH4y1w7yf,当一只中国兔子闯入美国人活动现场,//i2.hdslb.com/bfs/archive/ce211d3451be4df642748800ba11886bfbe4baea.jpg@412w_232h_1c_!web-popular.avif,小小可的快乐生活,414.9万,1755
3,BV13W421d7vA,这是天才做的陷阱！,//i1.hdslb.com/bfs/archive/0ccb49cf61ecbdf8efa2103140289a8c142abb6c.jpg@412w_232h_1c_!web-popular.avif,幕川北,434.3万,1260
4,BV1n6421f75a,我要创造一个有你的世界啊啊！2024年4月新番完结吐槽！【泛式】,//i1.hdslb.com/bfs/archive/94a2c4e4be626ea98f555f5584e1bc91dfca50da.jpg@412w_232h_1c_!web-popular.avif,泛式,184.9万,1.4万
5,BV1tW421R77P,这才是中国人的顶级浪漫,//i0.hdslb.com/bfs/archive/a696e88b7733d7f6f600fb0d3252fc34f26bf608.jpg@412w_232h_1c_!web-popular.avif,磐石纪录片,701.6万,1283
6,BV14T421Y7ve,终于来了，完美的神之卡【水无月菌】,//i0.hdslb.com/bfs/archive/e6a4d0dee663901dbbcffd9ab6f86d3aa14a7c10.jpg@412w_232h_1c_!web-popular.avif,水无月菌,211.1万,6072
7,BV1NS411w7Yf,植物大战僵尸杂交版v2.2版本宣传片,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",潜艇伟伟迷,355.8万,3715
8,BV1SH4y1F7fG,汉尼扳致青春：用《See You Again》送别高考岁月，迎接崭新未来,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",汉尼扳,120.1万,2455
9,BV171421k7j9,【MrBeast公益】我们让1000人恢复了听力,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",MrBeast官方账号,175.9万,1831
10,BV1Ex4y1t7dE,【绝区零】艾莲：请选择您的服务，魂淡~,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",一万根韭菜,245.7万,1199
11,BV1zJ4m1T7jq,不是，我也没眨眼啊？？！,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",黑漫君,318万,1094
12,BV1oH4y1F7P9,【何同学】不用脚，你能把球踢多远？,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",老师好我叫何同学,237.9万,1.2万
